qx,qy,qz,qw,qtime,mx,my,mz,mtime,ax,ay,az,atime,gyrox,gyroy,gyroz,gyrotime,linax,linay,linaz
0.024306,0.011060,0.748148,0.662995,36169,-260,-1759,594,35979,45,99,2046,36208,0,0,0,36169,0,0,1
0.024303,0.011058,0.748148,0.662994,36246,-260,-1759,594,35979,45,99,2046,36246,0,0,0,36246,0,0,1
0.024304,0.011059,0.748149,0.662993,36285,-250,-1764,584,36292,45,99,2046,36285,0,0,0,36285,0,0,1
0.024305,0.011059,0.748148,0.662994,36323,-250,-1764,584,36292,45,99,2046,36323,0,0,0,36323,0,0,1
0.024306,0.011059,0.748148,0.662994,36361,-250,-1764,584,36292,45,100,2046,36400,0,0,0,36361,0,0,1
0.024307,0.011058,0.748148,0.662994,36438,-250,-1764,584,36292,45,100,2046,36438,0,0,0,36438,0,0,1
0.024308,0.011059,0.748148,0.662994,36476,-250,-1764,584,36292,45,100,2046,36476,0,0,0,36476,0,0,1
0.024309,0.011060,0.748148,0.662994,36515,-250,-1764,584,36292,44,100,2046,36553,0,0,0,36515,0,0,1
0.024309,0.011060,0.748150,0.662992,36592,-250,-1764,584,36292,44,99,2046,36592,0,0,0,36592,0,0,1
0.024311,0.011059,0.748149,0.662993,36630,-250,-1789,584,36604,44,99,2046,36630,0,-1,0,36630,0,0,1
0.024313,0.011060,0.748148,0.662994,36668,-250,-1789,584,36604,44,99,2046,36668,1,0,0,36668,0,0,1
0.024312,0.011060,0.748148,0.662994,36707,-250,-1789,584,36604,44,99,2046,36745,0,0,0,36707,0,0,1
0.024314,0.011059,0.748147,0.662995,36784,-250,-1789,584,36604,44,99,2046,36784,0,0,0,36784,0,0,1
0.024314,0.011061,0.748148,0.662994,36822,-250,-1789,584,36604,45,99,2046,36822,0,0,0,36822,0,0,1
0.024314,0.011062,0.748149,0.662993,36860,-250,-1789,584,36604,45,99,2046,36860,0,0,0,36860,0,0,1
0.024315,0.011062,0.748149,0.662993,36899,-260,-1774,594,36917,45,99,2046,36937,0,0,0,36899,0,0,1
0.024319,0.011062,0.748147,0.662995,36976,-260,-1774,594,36917,45,99,2046,36976,1,-1,0,36976,0,0,1
0.024321,0.011062,0.748147,0.662995,37014,-260,-1774,594,36917,45,99,2046,37014,0,0,0,37014,0,0,1
0.024321,0.011062,0.748147,0.662995,37052,-260,-1774,594,36917,45,99,2046,37091,0,0,0,37052,0,0,1
0.024323,0.011061,0.748147,0.662994,37091,-260,-1774,594,36917,45,99,2046,37129,0,-1,0,37091,0,0,1
0.024322,0.011058,0.748151,0.662991,37167,-260,-1774,594,36917,45,99,2046,37167,0,0,1,37167,0,0,1
0.024326,0.011052,0.748153,0.662988,37206,-250,-1764,594,37230,45,99,2046,37206,0,-1,1,37206,0,0,1
0.024327,0.011052,0.748155,0.662986,37244,-250,-1764,594,37230,44,99,2046,37283,0,0,1,37244,0,0,1
0.024327,0.011053,0.748160,0.662980,37321,-250,-1764,594,37230,44,98,2046,37321,0,0,3,37321,1,0,1
0.024328,0.011054,0.748163,0.662977,37359,-250,-1764,594,37230,44,98,2046,37359,0,0,2,37359,0,0,1
0.024328,0.011054,0.748166,0.662974,37398,-250,-1764,594,37230,45,99,2046,37398,0,0,2,37398,0,0,1
0.024327,0.011054,0.748169,0.662970,37436,-250,-1764,594,37230,45,99,2046,37475,0,0,2,37436,0,0,1
0.024323,0.011052,0.748174,0.662965,37513,-250,-1764,594,37230,45,99,2046,37513,0,0,1,37513,0,0,1
0.024322,0.011051,0.748176,0.662963,37551,-250,-1774,599,37543,45,99,2046,37551,0,0,1,37551,0,0,1
0.024324,0.011050,0.748176,0.662962,37590,-250,-1774,599,37543,44,99,2046,37590,0,-1,0,37590,0,0,1
0.024323,0.011050,0.748177,0.662961,37628,-250,-1774,599,37543,44,99,2046,37667,0,0,0,37628,0,0,1
0.024323,0.011048,0.748181,0.662957,37705,-250,-1774,599,37543,44,99,2046,37705,0,0,1,37705,0,0,1
0.024321,0.011049,0.748183,0.662954,37743,-250,-1774,599,37543,44,99,2046,37743,0,1,2,37743,0,0,1
0.024319,0.011048,0.748186,0.662951,37782,-250,-1774,599,37543,44,99,2046,37820,-1,0,2,37782,0,0,1
0.024319,0.011047,0.748188,0.662949,37820,-260,-1779,604,37856,44,98,2046,37859,0,0,1,37820,1,0,1
0.024318,0.011045,0.748190,0.662946,37897,-260,-1779,604,37856,44,98,2046,37897,0,-1,0,37897,1,0,1
0.024317,0.011045,0.748192,0.662944,37935,-260,-1779,604,37856,44,98,2046,37935,0,0,1,37935,1,0,1
0.024318,0.011046,0.748195,0.662941,37974,-260,-1779,604,37856,44,98,2046,38012,0,0,2,37974,1,0,1
0.024321,0.011044,0.748201,0.662935,38051,-260,-1779,604,37856,44,98,2046,38051,0,0,2,38051,1,0,1
0.024318,0.011041,0.748206,0.662929,38089,-260,-1779,604,37856,44,97,2046,38089,-2,0,4,38089,1,0,0
0.024321,0.011040,0.748209,0.662925,38127,-260,-1779,604,37856,44,97,2046,38127,0,-1,3,38127,2,0,0
0.024322,0.011041,0.748214,0.662920,38166,-250,-1774,579,38169,44,97,2046,38204,0,0,4,38166,2,0,0
0.024327,0.011042,0.748220,0.662913,38243,-250,-1774,579,38169,44,97,2046,38243,0,-1,2,38243,2,0,1
0.024326,0.011038,0.748222,0.662910,38281,-250,-1774,579,38169,44,98,2046,38281,-1,-1,2,38281,1,0,1
0.024315,0.011023,0.748225,0.662908,38319,-250,-1774,579,38169,44,98,2046,38358,-1,0,2,38319,1,0,1
0.024315,0.011021,0.748231,0.662902,38396,-250,-1774,579,38169,44,98,2046,38396,0,0,3,38396,1,0,1
0.024316,0.011019,0.748233,0.662899,38434,-250,-1774,579,38169,45,98,2046,38434,0,-1,2,38434,1,0,1
0.024316,0.011017,0.748235,0.662897,38473,-255,-1754,599,38482,45,98,2046,38473,-1,-1,1,38473,1,0,1
0.024316,0.011016,0.748236,0.662895,38511,-255,-1754,599,38482,45,98,2046,38550,0,0,1,38511,1,0,1
0.024319,0.011017,0.748240,0.662891,38588,-255,-1754,599,38482,45,98,2046,38588,0,0,2,38588,1,0,1
0.024321,0.011019,0.748241,0.662890,38626,-255,-1754,599,38482,45,98,2046,38626,1,0,0,38626,0,0,1
0.024320,0.011017,0.748243,0.662888,38665,-255,-1754,599,38482,45,98,2046,38665,0,0,1,38665,0,0,1
0.024319,0.011018,0.748244,0.662886,38703,-255,-1754,599,38482,45,98,2045,38742,0,0,1,38703,0,0,0
0.024321,0.011020,0.748245,0.662885,38780,-255,-1754,599,38482,45,98,2046,38780,0,0,0,38780,0,0,1
0.024321,0.011019,0.748245,0.662885,38818,-250,-1754,599,38795,45,98,2046,38818,0,0,0,38818,0,0,1
0.024322,0.011020,0.748245,0.662885,38857,-250,-1754,599,38795,45,98,2046,38895,0,0,0,38857,0,0,1
0.024323,0.011021,0.748245,0.662885,38895,-250,-1754,599,38795,45,98,2046,38934,1,0,0,38934,0,0,1
0.024327,0.011021,0.748247,0.662883,38972,-250,-1754,599,38795,45,98,2046,38972,0,-1,0,38972,1,-1,1
0.024326,0.011020,0.748248,0.662882,39010,-250,-1754,599,38795,45,98,2046,39010,0,0,0,39010,1,-1,1
0.024327,0.011019,0.748248,0.662882,39049,-250,-1754,599,38795,45,98,2046,39087,0,-1,0,39049,1,-1,1
0.024331,0.011020,0.748249,0.662881,39126,-260,-1769,599,39107,45,98,2046,39126,0,0,0,39126,1,-1,1
0.024332,0.011019,0.748248,0.662881,39164,-260,-1769,599,39107,45,98,2046,39164,0,-1,0,39164,1,-1,1
0.024332,0.011018,0.748249,0.662880,39202,-260,-1769,599,39107,45,98,2046,39202,0,0,0,39202,1,-1,1
0.024332,0.011017,0.748250,0.662879,39241,-260,-1769,599,39107,45,98,2046,39279,0,0,0,39241,1,-1,1
0.024332,0.011017,0.748253,0.662876,39317,-260,-1769,599,39107,45,98,2046,39317,0,0,1,39317,1,-1,1
0.024330,0.011015,0.748254,0.662875,39356,-260,-1769,599,39107,45,98,2046,39356,-1,0,1,39356,0,-1,1
0.024329,0.011000,0.748255,0.662873,39394,-250,-1779,609,39420,45,98,2046,39394,0,0,0,39394,0,-1,1
0.024329,0.011000,0.748255,0.662873,39433,-250,-1779,609,39420,45,98,2046,39471,0,0,0,39433,0,-1,1
0.024333,0.010998,0.748256,0.662873,39509,-250,-1779,609,39420,45,98,2046,39509,0,0,0,39509,0,0,1
0.024333,0.010998,0.748257,0.662872,39548,-250,-1779,609,39420,45,99,2046,39548,0,0,0,39548,0,0,1
0.024333,0.010998,0.748258,0.662871,39586,-250,-1779,609,39420,45,99,2046,39625,0,0,0,39586,0,0,1
0.024334,0.010999,0.748260,0.662868,39663,-250,-1779,609,39420,45,99,2046,39663,0,0,0,39663,0,0,1
0.024335,0.010997,0.748260,0.662868,39701,-250,-1779,609,39420,45,99,2046,39701,0,-1,0,39701,0,0,1
0.024334,0.010996,0.748260,0.662868,39740,-240,-1793,604,39733,45,99,2046,39740,0,0,0,39740,0,0,1
0.024335,0.010995,0.748260,0.662868,39778,-240,-1793,604,39733,45,99,2046,39817,0,-1,0,39778,0,0,1
0.024337,0.010995,0.748261,0.662867,39855,-240,-1793,604,39733,45,99,2047,39855,0,0,0,39855,0,0,2
0.024336,0.010993,0.748261,0.662867,39893,-240,-1793,604,39733,45,99,2046,39893,-1,0,0,39893,0,0,1
0.024335,0.010992,0.748262,0.662866,39932,-240,-1793,604,39733,45,99,2046,39932,0,0,0,39932,0,0,1
0.024335,0.010993,0.748263,0.662864,39970,-240,-1793,604,39733,46,99,2046,40008,0,0,0,39970,0,-1,1
0.024335,0.010992,0.748265,0.662863,40047,-255,-1784,609,40046,46,99,2046,40047,0,0,0,40047,0,-1,1
0.024336,0.010991,0.748265,0.662862,40085,-255,-1784,609,40046,46,99,2046,40085,0,-1,0,40085,0,-1,1
0.024336,0.010991,0.748265,0.662862,40124,-255,-1784,609,40046,46,99,2046,40162,0,0,0,40124,0,-1,1
0.024337,0.010989,0.748266,0.662862,40200,-255,-1784,609,40046,46,99,2046,40200,0,-1,0,40200,0,-1,1
0.024337,0.010987,0.748266,0.662862,40239,-255,-1784,609,40046,46,100,2046,40239,-1,0,0,40239,0,-1,1
0.024333,0.010985,0.748268,0.662859,40277,-255,-1784,609,40046,46,100,2046,40277,-2,0,2,40277,0,-1,1
0.024335,0.010983,0.748269,0.662858,40315,-255,-1784,609,40046,46,100,2046,40354,0,-1,0,40315,0,-1,1
0.024336,0.010979,0.748270,0.662857,40392,-255,-1774,594,40359,46,100,2046,40392,0,-1,0,40392,0,-1,1
0.024336,0.010977,0.748269,0.662858,40430,-255,-1774,594,40359,46,100,2046,40430,-1,-1,0,40430,-1,-1,1
0.024346,0.010971,0.748269,0.662858,40469,-255,-1774,594,40359,46,100,2046,40469,-1,0,0,40469,-1,-1,1
0.024347,0.010970,0.748269,0.662857,40507,-255,-1774,594,40359,46,100,2047,40546,0,0,0,40507,-1,-1,2
0.024345,0.010965,0.748271,0.662856,40584,-255,-1774,594,40359,46,101,2047,40584,-2,0,0,40584,-1,-1,2
0.024344,0.010963,0.748272,0.662855,40622,-255,-1774,594,40359,46,101,2047,40622,-1,0,0,40622,-1,-1,2
0.024345,0.010961,0.748272,0.662854,40661,-240,-1789,579,40671,46,101,2047,40699,0,-1,0,40661,-1,-1,2
0.024348,0.010960,0.748272,0.662855,40738,-240,-1789,579,40671,46,101,2047,40738,0,0,0,40738,-2,-1,2
0.024347,0.010957,0.748272,0.662855,40776,-240,-1789,579,40671,46,101,2047,40776,-1,-1,0,40776,-2,-1,2
0.024346,0.010955,0.748272,0.662855,40814,-240,-1789,579,40671,46,101,2047,40814,-1,0,0,40814,-2,-1,1
0.024347,0.010954,0.748272,0.662855,40853,-240,-1789,579,40671,46,101,2047,40891,0,0,0,40853,-2,-1,2
0.024342,0.010952,0.748273,0.662854,40929,-240,-1789,579,40671,46,101,2047,40929,-1,0,0,40929,-2,-1,2
0.024340,0.010950,0.748273,0.662854,40968,-240,-1789,604,40984,46,101,2047,40968,-1,0,0,40968,-2,-1,2
0.024338,0.010948,0.748272,0.662855,41006,-240,-1789,604,40984,46,101,2047,41006,-1,0,0,41006,-2,-1,2
0.024340,0.010948,0.748271,0.662856,41045,-240,-1789,604,40984,46,102,2047,41083,0,-1,0,41045,-2,-1,2
0.024339,0.010944,0.748270,0.662857,41121,-240,-1789,604,40984,46,102,2047,41121,-1,0,0,41121,-2,-1,2
0.024339,0.010942,0.748269,0.662859,41160,-240,-1789,604,40984,46,102,2047,41160,0,-1,0,41160,-2,-1,2
0.024338,0.010941,0.748270,0.662858,41198,-240,-1789,604,40984,46,102,2047,41198,-1,0,0,41198,-2,-1,2
0.024337,0.010940,0.748270,0.662857,41236,-240,-1789,604,40984,46,102,2047,41275,0,0,0,41236,-2,-1,2
0.024336,0.010936,0.748271,0.662857,41313,-250,-1789,614,41297,46,102,2047,41313,0,0,0,41313,-2,-1,2
0.024338,0.010935,0.748270,0.662858,41352,-250,-1789,614,41297,46,102,2047,41352,0,-1,0,41352,-2,-1,2
0.024337,0.010934,0.748269,0.662858,41390,-250,-1789,614,41297,46,102,2047,41428,0,0,0,41390,-2,-1,2
0.024336,0.010930,0.748269,0.662859,41467,-250,-1789,614,41297,46,102,2047,41467,0,-1,0,41467,-2,-1,2
0.024359,0.010934,0.748268,0.662859,41505,-250,-1789,614,41297,46,102,2047,41505,-2,0,0,41505,-2,-1,2
0.024357,0.010934,0.748269,0.662858,41543,-250,-1789,614,41297,46,101,2047,41543,0,0,0,41543,-2,-1,2
0.024357,0.010933,0.748269,0.662858,41582,-250,-1798,604,41610,46,101,2047,41620,0,0,0,41582,-2,-1,2
0.024358,0.010929,0.748268,0.662859,41659,-250,-1798,604,41610,46,101,2047,41659,0,-1,-1,41659,-2,-1,2
0.024357,0.010927,0.748268,0.662859,41697,-250,-1798,604,41610,46,101,2047,41697,-1,0,0,41697,-1,-1,1
0.024357,0.010925,0.748268,0.662859,41735,-250,-1798,604,41610,46,101,2046,41735,0,0,0,41735,-1,-1,1
0.024359,0.010925,0.748268,0.662859,41774,-250,-1798,604,41610,46,101,2046,41812,0,0,0,41774,-1,-1,1
0.024358,0.010920,0.748269,0.662858,41851,-250,-1798,604,41610,46,101,2047,41851,-1,0,0,41851,-1,-1,1
0.024358,0.010920,0.748269,0.662858,41889,-250,-1798,604,41610,46,100,2046,41889,0,0,0,41889,-1,-1,1
0.024358,0.010919,0.748270,0.662857,41927,-240,-1789,589,41923,46,100,2047,41966,0,0,0,41927,-1,-1,2
0.024359,0.010915,0.748268,0.662860,42004,-240,-1789,589,41923,46,100,2047,42004,0,0,0,42004,-1,-1,2
0.024360,0.010914,0.748268,0.662860,42043,-240,-1789,589,41923,46,100,2047,42043,0,0,0,42043,-1,-1,2
